Posição,Título,Ano de lançamento,Artista(s),url,img
85,Jovem Guarda,1965,Roberto Carlos,https://open.spotify.com/album/4M0l3EZarnDYVRqnJL1Uif,https://i.scdn.co/image/ab67616d0000b273d5bd0eb092e6d8a13802bbb0
86,"Beleléu, Leléu, Eu",1980,Itamar Assumpção e Banda Isca de Polícia,https://open.spotify.com/album/053yUvknCCgffP4GvcXIvk,https://i.scdn.co/image/ab67616d0000b2730c43308421345127fb917d78
87,"Verde, Anil, Amarelo, Cor-de-Rosa e Carvão",1994,Marisa Monte,https://open.spotify.com/album/26OYzOWjelS4qNuP27Ac6i,https://i.scdn.co/image/ab67616d0000b2731c938a5517ad9687308180e2
88,Nada como um Dia após o Outro Dia,2002,Racionais MC's,https://open.spotify.com/album/4HcPzKyKVtcZCwJgesoZWn,https://i.scdn.co/image/ab67616d0000b273497e68476e7062b1bf5ea83f
89,Carnaval na Obra,1998,Mundo Livre S/A,https://open.spotify.com/album/3QGgIqzfnJo6SmAXkHWbZT,https://i.scdn.co/image/ab67616d0000b2738629a170fd7a8f8639e84ec9
90,Quem é Quem,1973,João Donato,https://open.spotify.com/album/6GEO5pSp3ojwIm9vZqTtRd,https://i.scdn.co/image/ab67616d0000b273d5510d5ecf9533c3bf0f3908
91,Cantar,1974,Gal Costa,https://open.spotify.com/album/4jY3KTb8z9OZiIM92pTuNe,https://i.scdn.co/image/ab67616d0000b2732126655adcbebe1795d59869
92,Wave,1967,Tom Jobim,https://open.spotify.com/album/5SSyex1jdJe9h3lbqESv1T,https://i.scdn.co/image/ab67616d0000b273c634d4769c1fb60221cdc021
93,Lado B Lado A,1999,O Rappa,https://open.spotify.com/album/3I1bOo70cU0y7PprxCGgAs,https://i.scdn.co/image/ab67616d0000b2737c33a0320b19db0e14ecdc5f
94,Vivendo e Não Aprendendo,1986,Ira!,https://open.spotify.com/album/7tMZCSJn9O7uEEOTczU9T9,https://i.scdn.co/image/ab67616d0000b273b556b4773669e3367ce93e98
95,Doces Bárbaros,1976,"Caetano Veloso, Gal Costa, Gilberto Gil e Maria Bethânia",https://open.spotify.com/album/2heHT5XfoUeHbUXvBnNfzG,https://i.scdn.co/image/ab67616d0000b2739e4ed574aebb41e248690b2b
96,A Sétima Efervescência,1997,Júpiter Maçã,https://open.spotify.com/album/0xY9MmK5HKBlHioaBOBOLN,https://i.scdn.co/image/ab67616d0000b273d15b1b4fdc623d07260eefe5
97,Araçá Azul,1973,Caetano Veloso,https://open.spotify.com/album/0RbdAMsAipIgzQYPikwBZA,https://i.scdn.co/image/ab67616d0000b273f63b8ab25686790d40d89a87
98,Elis,1972,Elis Regina,https://open.spotify.com/album/3NOxICud3CE6svBnR9WqC7,https://i.scdn.co/image/ab67616d0000b2733fadbe3cdd5f652a804b81ab
99,Revoluções por Minuto,1985,RPM,https://open.spotify.com/album/1hbH0q0Ff3BRP2iuwLd5om,https://i.scdn.co/image/ab67616d0000b273589037de723d1763f13c7396
100,Circense,1980,Egberto Gismonti,https://open.spotify.com/album/4QiKiYTKnOQYh843XVfFQz,https://i.scdn.co/image/ab67616d0000b27378d237f1adee1b1cf343bc1f
